    89 	    30     2	   2.166e+00   2.882e-01	  1.087e-01   8.664e-02   1.390e-01    1
   143 	    30     1	   1.276e+00  -3.384e-02	  6.338e-02  -5.897e-02   8.657e-02    1
   194 	    30     4	   2.474e+00  -2.369e-01	  2.863e-01  -1.567e-01   3.264e-01    1
    29 	    31     3	   1.783e+00   4.648e-01	 -3.818e-02   3.746e-02   5.349e-02    1
    90 	    31     2	   2.064e+00  -1.761e-01	 -4.711e-02  -8.570e-04   4.711e-02    1
   144 	    31     1	   1.220e+00  -1.725e-01	  1.252e-01  -7.581e-02   1.463e-01    1
   195 	    31     4	   2.132e+00  -6.910e-01	  1.736e-01  -3.115e-01   3.566e-01    1
    30 	    32     3	   1.638e+00   1.089e+00	  2.314e-03   1.127e-01   1.127e-01    1
    91 	    32     2	   1.965e+00   4.734e-01	  8.348e-02   9.423e-02   1.259e-01    1
   145 	    32     1	   7.885e-01   6.531e-01	 -5.866e-02   1.861e-01   1.951e-01    1
   196 	    32     4	   1.739e+00   1.302e-01	  8.203e-03   3.084e-02   3.191e-02    1
    31 	    33     3	   1.749e+00   9.020e-01	  3.245e-02   2.568e-02   4.138e-02    1
    92 	    33     2	   2.047e+00   4.011e-01	  1.979e-02   1.504e-02   2.486e-02    1
   146 	    33     1	   1.087e+00   4.665e-01	 -2.181e-02   1.340e-01   1.358e-01    1
   197 	    33     4	   2.251e+00   1.557e-01	  2.393e-01  -4.204e-02   2.430e-01    1
    32 	    34     3	   1.982e+00  -6.336e-01	 -3.868e-02  -5.584e-01   5.597e-01    1
    93 	    34     2	   2.555e+00  -1.284e+00	  2.834e-01  -6.632e-01   7.212e-01    1
   147 	    34     1	   1.274e+00  -6.290e-01	 -7.350e-03  -3.072e-02   3.159e-02    1
   198 	    34     4	   2.688e+00  -9.743e-01	  4.967e-01  -5.783e-02   5.001e-01    1
    33 	    35     3	   2.810e+00   1.373e+00	  4.814e-01  -1.097e-01   4.938e-01    1
    94 	    35     2	   2.559e+00   7.511e-01	  3.245e-01  -2.013e-01   3.819e-01    1
   148 	    35     1	   1.109e+00   1.772e+00	  1.080e-01   4.795e-01   4.916e-01    1
    34 	    36     3	   3.060e+00   8.491e-01	  3.783e-01  -1.542e-01   4.085e-01    1
    95 	    36     2	   3.228e+00   2.874e-01	  5.328e-01  -7.629e-02   5.383e-01    1
   149 	    36     1	   1.542e+00   8.227e-01	  7.805e-02   1.188e-01   1.421e-01    1
